epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,838.015,1.37298,0.54557,0.00146,0.8505,0.7759,0.79319,0.48023,1.22571,0.47172,0.00155,0.000742625,0.000742625,0.000742625
43,858.103,1.3566,0.53228,0.00144,0.82933,0.7625,0.78243,0.45695,1.28619,0.50554,0.00156,0.00073025,0.00073025,0.00073025
44,877.014,1.36149,0.52525,0.00143,0.83942,0.75777,0.78604,0.46178,1.2518,0.47303,0.00155,0.000717875,0.000717875,0.000717875
45,896.321,1.37884,0.51767,0.00146,0.85495,0.7541,0.79811,0.46862,1.22734,0.47064,0.0015,0.0007055,0.0007055,0.0007055
46,915.303,1.37636,0.52067,0.00141,0.91388,0.73638,0.79551,0.47057,1.2288,0.45688,0.00151,0.000693125,0.000693125,0.000693125
47,933.857,1.36426,0.52098,0.0014,0.8833,0.73977,0.79396,0.47187,1.2101,0.46626,0.00151,0.00068075,0.00068075,0.00068075
48,953.912,1.34391,0.51309,0.00141,0.86195,0.78212,0.80775,0.46529,1.25628,0.46233,0.00153,0.000668375,0.000668375,0.000668375
49,972.162,1.33629,0.51698,0.00139,0.8956,0.77215,0.79777,0.47853,1.21048,0.48147,0.0015,0.000656,0.000656,0.000656
50,991.615,1.31735,0.51081,0.00141,0.88265,0.73959,0.77894,0.4525,1.23955,0.49284,0.00151,0.000643625,0.000643625,0.000643625
51,1009.9,1.33583,0.51469,0.00139,0.90151,0.74793,0.7948,0.47457,1.24811,0.48766,0.00152,0.00063125,0.00063125,0.00063125
52,1027.99,1.33464,0.51091,0.00137,0.84197,0.76624,0.78809,0.47039,1.23497,0.46934,0.00153,0.000618875,0.000618875,0.000618875
53,1047.3,1.32207,0.50259,0.00137,0.86764,0.73815,0.78618,0.4475,1.24764,0.48572,0.00152,0.0006065,0.0006065,0.0006065
54,1065.65,1.3347,0.49892,0.00137,0.86889,0.71168,0.78813,0.46376,1.23621,0.47198,0.00152,0.000594125,0.000594125,0.000594125
55,1085.08,1.33515,0.49798,0.00141,0.81159,0.75111,0.78217,0.45675,1.20688,0.47963,0.00149,0.00058175,0.00058175,0.00058175
56,1103.15,1.32544,0.49028,0.00137,0.85763,0.74886,0.79159,0.46489,1.24124,0.46594,0.00155,0.000569375,0.000569375,0.000569375
57,1121.65,1.33063,0.49864,0.00138,0.8802,0.76804,0.79471,0.45824,1.22768,0.47822,0.00155,0.000557,0.000557,0.000557
58,1141.12,1.33616,0.49184,0.00137,0.84721,0.72411,0.78143,0.46235,1.21884,0.47975,0.00148,0.000544625,0.000544625,0.000544625
59,1159.6,1.29264,0.48644,0.00136,0.87516,0.71647,0.7733,0.46114,1.22579,0.47462,0.00152,0.00053225,0.00053225,0.00053225
60,1179.2,1.30073,0.48773,0.00136,0.80165,0.72347,0.77033,0.46154,1.23304,0.46418,0.00153,0.000519875,0.000519875,0.000519875
61,1197.61,1.28869,0.48322,0.00133,0.91674,0.73149,0.79026,0.45771,1.24941,0.46806,0.00156,0.0005075,0.0005075,0.0005075
62,1217.4,1.29076,0.48294,0.00134,0.88412,0.73623,0.78451,0.45506,1.23288,0.47313,0.00152,0.000495125,0.000495125,0.000495125
63,1235.92,1.30827,0.48864,0.00135,0.872,0.75502,0.79127,0.46649,1.23788,0.45092,0.00153,0.00048275,0.00048275,0.00048275
64,1254.84,1.30821,0.48481,0.00132,0.8817,0.77465,0.80489,0.46306,1.2339,0.46865,0.00151,0.000470375,0.000470375,0.000470375
65,1273.77,1.29224,0.47899,0.00134,0.88562,0.74458,0.79476,0.47772,1.22011,0.46021,0.00151,0.000458,0.000458,0.000458
66,1292.04,1.285,0.47155,0.00133,0.8783,0.71012,0.78421,0.45782,1.23883,0.46575,0.0015,0.000445625,0.000445625,0.000445625
67,1311.66,1.27642,0.47482,0.00131,0.86227,0.70946,0.76964,0.46154,1.22156,0.46247,0.00151,0.00043325,0.00043325,0.00043325
68,1329.97,1.28133,0.47532,0.0013,0.8574,0.74264,0.79888,0.47524,1.22699,0.45985,0.0015,0.000420875,0.000420875,0.000420875
69,1349.85,1.29823,0.478,0.00133,0.9264,0.71274,0.79216,0.46025,1.21546,0.46359,0.00149,0.0004085,0.0004085,0.0004085
70,1368.2,1.26475,0.46545,0.00131,0.86131,0.74255,0.79337,0.46295,1.2583,0.45126,0.00151,0.000396125,0.000396125,0.000396125
71,1386.54,1.24935,0.46273,0.00128,0.82456,0.76525,0.79348,0.47226,1.20552,0.44628,0.00149,0.00038375,0.00038375,0.00038375
72,1406.17,1.29381,0.47816,0.00134,0.87043,0.73538,0.78483,0.46423,1.2136,0.45611,0.0015,0.000371375,0.000371375,0.000371375
73,1424.46,1.2636,0.46563,0.00131,0.8526,0.75071,0.79449,0.46841,1.24502,0.45988,0.00153,0.000359,0.000359,0.000359
74,1444.02,1.26245,0.45913,0.00128,0.88663,0.75381,0.7992,0.46662,1.24371,0.4559,0.00152,0.000346625,0.000346625,0.000346625
